PID,object,location,object_and_location
0,0.6944444444444443,0.5,0.19444444444444442
1,0.611111111111111,0.611111111111111,0.08333333333333333
2,0.2222222222222222,0.3055555555555555,0.6944444444444443
3,0.4444444444444444,0.3055555555555555,0.47222222222222215
4,0.6388888888888888,0.8333333333333334,0.08333333333333333
5,0.5555555555555555,0.4444444444444444,0.3333333333333333
6,0.47222222222222215,0.611111111111111,0.1111111111111111
7,0.3333333333333333,0.8055555555555555,0.1111111111111111
8,0.75,0.8333333333333334,0.0
9,0.4444444444444444,0.4444444444444444,0.4444444444444444
10,0.6388888888888888,0.8055555555555555,0.08333333333333333
11,0.5,0.25,0.5
12,0.611111111111111,0.7222222222222222,0.19444444444444442
13,0.6666666666666666,0.38888888888888884,0.25
14,0.5833333333333334,0.27777777777777773,0.3333333333333333
15,0.3611111111111111,0.611111111111111,0.3055555555555555
16,0.3055555555555555,0.6388888888888888,0.16666666666666666
17,0.5833333333333334,0.8055555555555555,0.1111111111111111
18,0.5833333333333334,0.8333333333333334,0.08333333333333333
19,0.3611111111111111,0.7222222222222222,0.19444444444444442
20,0.47222222222222215,0.611111111111111,0.08333333333333333
21,0.8888888888888888,0.7222222222222222,0.0
22,0.2222222222222222,0.8055555555555555,0.08333333333333333
23,0.6388888888888888,0.75,0.08333333333333333
24,0.5277777777777778,0.4166666666666667,0.25
25,0.6944444444444443,0.5277777777777778,0.19444444444444442
26,0.4166666666666667,0.5277777777777778,0.16666666666666666
27,0.3333333333333333,0.4444444444444444,0.5555555555555555
28,0.38888888888888884,0.3333333333333333,0.4444444444444444
29,0.611111111111111,0.8055555555555555,0.19444444444444442
30,0.8055555555555555,0.7222222222222222,0.0
31,0.3333333333333333,0.5,0.27777777777777773
32,0.8055555555555555,0.5,0.19444444444444442
33,0.25,0.8333333333333334,0.16666666666666666
34,0.1111111111111111,0.0,0.8888888888888888
35,0.3333333333333333,0.3333333333333333,0.4166666666666667
36,0.4166666666666667,0.7222222222222222,0.16666666666666666
37,0.5833333333333334,0.5833333333333334,0.2222222222222222
38,0.6388888888888888,0.5555555555555555,0.3611111111111111
39,0.3333333333333333,0.3611111111111111,0.38888888888888884
